x, sin(x), nnsin(x)
0, 0.00, 0.01
3, 0.05, 0.05
6, 0.10, 0.10
9, 0.16, 0.16
12, 0.21, 0.21
15, 0.26, 0.26
18, 0.31, 0.31
21, 0.36, 0.36
24, 0.41, 0.41
27, 0.45, 0.45
30, 0.50, 0.50
33, 0.54, 0.54
36, 0.59, 0.59
39, 0.63, 0.63
42, 0.67, 0.67
45, 0.71, 0.71
48, 0.74, 0.74
51, 0.78, 0.78
54, 0.81, 0.81
57, 0.84, 0.84
60, 0.87, 0.87
63, 0.89, 0.89
66, 0.91, 0.91
69, 0.93, 0.93
72, 0.95, 0.95
75, 0.97, 0.96
78, 0.98, 0.98
81, 0.99, 0.98
84, 0.99, 0.99
87, 1.00, 1.00
90, 1.00, 1.00
93, 1.00, 0.99
96, 0.99, 0.99
99, 0.99, 0.98
102, 0.98, 0.97
105, 0.97, 0.96
108, 0.95, 0.95
111, 0.93, 0.93
114, 0.91, 0.91
117, 0.89, 0.89
120, 0.87, 0.86
123, 0.84, 0.83
126, 0.81, 0.80
129, 0.78, 0.77
132, 0.74, 0.74
135, 0.71, 0.70
138, 0.67, 0.66
141, 0.63, 0.63
144, 0.59, 0.58
147, 0.54, 0.54
150, 0.50, 0.50
153, 0.45, 0.45
156, 0.41, 0.41
159, 0.36, 0.36
162, 0.31, 0.31
165, 0.26, 0.26
168, 0.21, 0.21
171, 0.16, 0.16
174, 0.10, 0.11
177, 0.05, 0.06
180, 0.00, 0.01
183, -0.05, -0.04
186, -0.10, -0.10
189, -0.16, -0.15
192, -0.21, -0.20
195, -0.26, -0.26
198, -0.31, -0.31
201, -0.36, -0.36
204, -0.41, -0.41
207, -0.45, -0.46
210, -0.50, -0.51
213, -0.54, -0.56
216, -0.59, -0.61
219, -0.63, -0.65
222, -0.67, -0.69
225, -0.71, -0.74
228, -0.74, -0.77
231, -0.78, -0.81
234, -0.81, -0.84
237, -0.84, -0.87
240, -0.87, -0.90
243, -0.89, -0.92
246, -0.91, -0.94
249, -0.93, -0.96
252, -0.95, -0.97
255, -0.97, -0.98
258, -0.98, -0.99
261, -0.99, -0.99
264, -0.99, -0.99
267, -1.00, -0.99
270, -1.00, -0.99
273, -1.00, -0.98
276, -0.99, -0.97
279, -0.99, -0.96
282, -0.98, -0.94
285, -0.97, -0.93
288, -0.95, -0.91
291, -0.93, -0.89
294, -0.91, -0.87
297, -0.89, -0.84
300, -0.87, -0.82
303, -0.84, -0.79
306, -0.81, -0.76
309, -0.78, -0.73
312, -0.74, -0.70
315, -0.71, -0.67
318, -0.67, -0.64
321, -0.63, -0.60
324, -0.59, -0.57
327, -0.54, -0.53
330, -0.50, -0.50
333, -0.45, -0.46
336, -0.41, -0.42
339, -0.36, -0.39
342, -0.31, -0.35
345, -0.26, -0.31
348, -0.21, -0.27
351, -0.16, -0.24
354, -0.10, -0.20
357, -0.05, -0.16
360, -0.00, -0.12
